Unnamed: 0,Unnamed: 1,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2020-12-31,37-Jährige,140598,169920.0,58366.0,32833.0,8917.0,27938.0,79030.0,20867.0,93150.0,217665.0,49023.0,11384.0,53649.0,26977.0,33358.0,27000.0
2020-12-31,38-Jährige,143820,173703.0,57947.0,33357.0,9050.0,27884.0,81529.0,21098.0,94761.0,222607.0,50229.0,11674.0,54110.0,26729.0,34638.0,27682.0
2020-12-31,39-Jährige,142720,172817.0,56529.0,33014.0,8619.0,27896.0,81228.0,20433.0,94886.0,220489.0,50567.0,11509.0,52490.0,26496.0,34545.0,26827.0
2020-12-31,40-Jährige,143674,171568.0,55021.0,34140.0,8477.0,27659.0,81912.0,20888.0,95574.0,221752.0,49471.0,11584.0,53738.0,27036.0,35190.0,27504.0
2020-12-31,41-Jährige,135286,164430.0,50989.0,32752.0,8063.0,25840.0,78620.0,20433.0,91309.0,209848.0,47570.0,11019.0,51485.0,25841.0,33392.0,26310.0
2020-12-31,42-Jährige,132103,161792.0,48815.0,32715.0,8021.0,25274.0,77700.0,20062.0,90929.0,207331.0,46948.0,10626.0,51584.0,25683.0,33550.0,25463.0
2020-12-31,43-Jährige,131171,160787.0,47444.0,31580.0,7857.0,24656.0,76661.0,19471.0,90328.0,207634.0,46608.0,10789.0,50254.0,24730.0,33299.0,25063.0
2020-12-31,44-Jährige,131660,159257.0,45166.0,28805.0,7876.0,24506.0,76726.0,17119.0,90808.0,208336.0,45945.0,10317.0,44789.0,22150.0,33635.0,22490.0
2020-12-31,45-Jährige,129455,156440.0,43168.0,27304.0,7822.0,23341.0,74782.0,16213.0,88630.0,203262.0,45202.0,10142.0,42730.0,21162.0,32830.0,21565.0
2020-12-31,46-Jährige,132255,158581.0,42112.0,26709.0,7645.0,23258.0,76096.0,15869.0,91311.0,205988.0,45648.0,10301.0,42165.0,21713.0,32836.0,22306.0
2020-12-31,47-Jährige,131444,157930.0,40770.0,27182.0,7791.0,22755.0,76183.0,16297.0,93029.0,208303.0,46512.0,10362.0,42595.0,22596.0,33860.0,23090.0
2020-12-31,48-Jährige,141646,169865.0,42373.0,30089.0,8200.0,23549.0,81298.0,17789.0,101561.0,224596.0,50537.0,11447.0,46549.0,25924.0,36856.0,25936.0
2020-12-31,49-Jährige,151947,183178.0,46445.0,35186.0,8724.0,25001.0,87479.0,20549.0,111408.0,245175.0,55249.0,12657.0,54177.0,30668.0,41197.0,29065.0
2020-12-31,50-Jährige,157787,189700.0,47029.0,35726.0,9076.0,25511.0,91298.0,21077.0,116551.0,255587.0,57805.0,13090.0,54067.0,30911.0,42940.0,29690.0
2020-12-31,51-Jährige,168679,204517.0,48875.0,37138.0,9686.0,26485.0,97470.0,21807.0,126349.0,279492.0,62543.0,14579.0,54448.0,31912.0,47626.0,30012.0
2020-12-31,52-Jährige,175829,212675.0,51212.0,39270.0,10257.0,28350.0,101951.0,23268.0,132408.0,292185.0,66025.0,15610.0,55288.0,32775.0,50470.0,30478.0
2020-12-31,53-Jährige,179149,217245.0,51341.0,41333.0,10316.0,28430.0,103405.0,24330.0,136224.0,298179.0,67705.0,16150.0,57087.0,34170.0,52319.0,31503.0
2020-12-31,54-Jährige,182455,218293.0,53368.0,44287.0,10564.0,28545.0,105015.0,26286.0,138312.0,304654.0,70184.0,16800.0,60305.0,35528.0,52529.0,33699.0
